# Time_set	MSO_chan2_trace
# "Channel 2 time series"	"Voltage"
# 100000
-0.246409733319866	-0.001834653168
-0.246404733269865	-0.001239368732
-0.246399733219865	-0.001116478948
-0.246394733169864	-0.001175750548
-0.246389733119864	-0.001770244696
-0.246384733069863	-0.001680151864
-0.246379733019863	-0.001325707696
-0.246374732969862	-0.001569906688
-0.246369732919862	-0.001072815536
-0.246364732869861	-0.002052772656
-0.246359732819861	-0.00103665986
-0.24635473276986	-0.001797707204
-0.24634973271986	-0.001705243508
-0.246344732669859	-0.001816278972
-0.246339732619859	-0.001781308728
-0.246334732569858	-0.001056219488
-0.246329732519858	-0.001520118544
-0.246324732469857	-0.00192770958
-0.246319732419857	-0.001521303976
-0.246314732369856	-0.00135079934
-0.246309732319856	-0.001907359664
-0.246304732269855	-0.001610804092
-0.246299732219855	-0.00169358676
